polytechnic_name,polytechnic_code,probidhan,Session_year,student_roll,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500451,null,null,null,null,null,"66653(T), 66661(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500457,null,null,null,null,null,66661(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500458,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500489,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500491,null,null,null,null,null,"66653(T), 66661(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500494,null,null,null,null,null,66653(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500499,null,null,null,null,null,66664(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500501,null,null,null,null,null,"65852(T), 66653(T),
66661(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500510,null,null,null,null,null,66662(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500517,null,null,null,null,null,66653(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500519,null,null,null,null,null,"66653(T), 66661(T),
66662(T), 66664(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500528,null,null,null,null,null,68546(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500532,null,null,null,null,null,"66651(T), 66664(T),
66842(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500535,null,null,null,null,null,"66661(T), 66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500536,null,null,null,null,null,"66653(T), 66661(T),
66662(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500573,null,null,null,null,null,66653(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500581,null,null,null,null,null,66363(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500595,null,null,null,null,null,66363(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500598,null,null,null,null,null,67045(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500604,null,null,null,null,null,"66964(T), 67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500606,null,null,null,null,null,"66363(T), 66964(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500615,null,null,null,null,null,66363(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500616,null,null,null,null,null,"66363(T), 67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500624,null,null,null,null,null,67045(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500630,null,null,null,null,null,"65851(T), 66363(T),
66961(T), 67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500638,null,null,null,null,null,67045(T) ,null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500649,null,null,null,null,null,"66363(T), 66952(T),
66964(T), 67045(T) ",null,null
"Thakurgaon Polytechnic Institute, Thakurgaon",12053,2016,2020-2021,500655,null,null,null,null,null,"66363(T), 66952(T),
67045(T) ",null,null
